seqID,syll_1,syll_2,syll_3,syll_4,syll_5,syll_6
seq_0227,A2_i_d.mp3,B2_o_t.mp3,A3_e_g.mp3,B3_u_k.mp3,A1_e_b.mp3,B1_u_p.mp3
seq_0228,A2_i_d.mp3,B2_u_t.mp3,A3_e_g.mp3,B3_o_k.mp3,A1_e_b.mp3,B1_o_p.mp3
seq_0229,A2_i_d.mp3,B2_u_t.mp3,A3_e_g.mp3,B3_o_k.mp3,A1_e_b.mp3,B1_u_p.mp3
seq_0230,A2_i_d.mp3,B2_u_t.mp3,A3_e_g.mp3,B3_u_k.mp3,A1_e_b.mp3,B1_o_p.mp3
seq_0231,A2_i_d.mp3,B2_u_t.mp3,A3_e_g.mp3,B3_u_k.mp3,A1_e_b.mp3,B1_u_p.mp3
seq_0232,A2_i_d.mp3,B2_o_t.mp3,A3_e_g.mp3,B3_o_k.mp3,A1_i_b.mp3,B1_o_p.mp3
seq_0233,A2_i_d.mp3,B2_o_t.mp3,A3_e_g.mp3,B3_o_k.mp3,A1_i_b.mp3,B1_u_p.mp3
seq_0234,A2_i_d.mp3,B2_o_t.mp3,A3_e_g.mp3,B3_u_k.mp3,A1_i_b.mp3,B1_o_p.mp3
seq_0235,A2_i_d.mp3,B2_o_t.mp3,A3_e_g.mp3,B3_u_k.mp3,A1_i_b.mp3,B1_u_p.mp3
seq_0236,A2_i_d.mp3,B2_u_t.mp3,A3_e_g.mp3,B3_o_k.mp3,A1_i_b.mp3,B1_o_p.mp3
seq_0237,A2_i_d.mp3,B2_u_t.mp3,A3_e_g.mp3,B3_o_k.mp3,A1_i_b.mp3,B1_u_p.mp3
seq_0238,A2_i_d.mp3,B2_u_t.mp3,A3_e_g.mp3,B3_u_k.mp3,A1_i_b.mp3,B1_o_p.mp3
seq_0239,A2_i_d.mp3,B2_u_t.mp3,A3_e_g.mp3,B3_u_k.mp3,A1_i_b.mp3,B1_u_p.mp3
seq_0240,A2_i_d.mp3,B2_o_t.mp3,A3_i_g.mp3,B3_o_k.mp3,A1_e_b.mp3,B1_o_p.mp3
seq_0241,A2_i_d.mp3,B2_o_t.mp3,A3_i_g.mp3,B3_o_k.mp3,A1_e_b.mp3,B1_u_p.mp3
seq_0242,A2_i_d.mp3,B2_o_t.mp3,A3_i_g.mp3,B3_u_k.mp3,A1_e_b.mp3,B1_o_p.mp3
seq_0243,A2_i_d.mp3,B2_o_t.mp3,A3_i_g.mp3,B3_u_k.mp3,A1_e_b.mp3,B1_u_p.mp3
seq_0244,A2_i_d.mp3,B2_u_t.mp3,A3_i_g.mp3,B3_o_k.mp3,A1_e_b.mp3,B1_o_p.mp3
seq_0245,A2_i_d.mp3,B2_u_t.mp3,A3_i_g.mp3,B3_o_k.mp3,A1_e_b.mp3,B1_u_p.mp3
seq_0246,A2_i_d.mp3,B2_u_t.mp3,A3_i_g.mp3,B3_u_k.mp3,A1_e_b.mp3,B1_o_p.mp3
seq_0247,A2_i_d.mp3,B2_u_t.mp3,A3_i_g.mp3,B3_u_k.mp3,A1_e_b.mp3,B1_u_p.mp3
seq_0248,A2_i_d.mp3,B2_o_t.mp3,A3_i_g.mp3,B3_o_k.mp3,A1_i_b.mp3,B1_o_p.mp3
seq_0249,A2_i_d.mp3,B2_o_t.mp3,A3_i_g.mp3,B3_o_k.mp3,A1_i_b.mp3,B1_u_p.mp3
seq_0250,A2_i_d.mp3,B2_o_t.mp3,A3_i_g.mp3,B3_u_k.mp3,A1_i_b.mp3,B1_o_p.mp3
seq_0251,A2_i_d.mp3,B2_o_t.mp3,A3_i_g.mp3,B3_u_k.mp3,A1_i_b.mp3,B1_u_p.mp3
seq_0252,A2_i_d.mp3,B2_u_t.mp3,A3_i_g.mp3,B3_o_k.mp3,A1_i_b.mp3,B1_o_p.mp3
